formation_year,oos_year,ISIN,NAME,weight
2013,2014,GB0033986497,ITV,4.661771006618451e-18
2013,2014,GB00B012BV22,MARSHALLS,6.321048090729449e-19
2013,2014,GB00B012TP20,HALFORDS GROUP,0.0
2013,2014,GB00B019KW72,SAINSBURY J,0.0
2013,2014,GB00B02J6398,ADMIRAL GROUP,0.0
2013,2014,GB00B033F229,CENTRICA,1.4403821746451225e-18
2013,2014,GB00B03HDJ73,ESKEN LIMITED DEAD - DELIST.02/04/24,1.833859095345828e-18
2013,2014,GB00B04V1276,GRAINGER,1.3390547815573553e-18
2013,2014,GB00B06QFB75,IG GROUP HOLDINGS,0.0
2013,2014,GB00B0744359,ESSENTRA,0.0
2013,2014,GB00B0744B38,BUNZL,9.930198688514739e-18
2013,2014,GB00B082RF11,RENTOKIL INITIAL,1.2235567504619294e-18
2013,2014,GB00B0FYMT95,HELICAL REIT,0.0
2013,2014,GB00B0KM9T71,STHREE,0.0
2013,2014,GB00B0LCW083,HIKMA PHARMACEUTICALS,0.0
2013,2014,GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,0.0
2013,2014,GB00B0WMWD03,QINETIQ GROUP,0.01189460821167828
2013,2014,GB00B0YG1K06,RESTAURANT GROUP DEAD - DELIST.22/12/23,3.2271777271757065e-18
2013,2014,GB00B132NW22,ASHMORE GROUP,0.0
2013,2014,GB00B135BJ46,SAVILLS,0.0
2013,2014,GB00B18P5K83,TOPPS TILES,0.0
2013,2014,GB00B19Z1432,PZ CUSSONS,0.0
2013,2014,GB00B1FH8J72,SEVERN TRENT,4.204109373535368e-18
2013,2014,GB00B1FP6H53,MITCHELLS & BUTLERS,0.0
2013,2014,GB00B1FW5029,HOCHSCHILD MINING,0.0
2013,2014,GB00B1JQDM80,MARSTON'S,0.0
2013,2014,GB00B1KJJ408,WHITBREAD,2.345547631161947e-18
2013,2014,GB00B1P6ZR11,BROWN GROUP DEAD - DELIST.13/02/25,0.0
2013,2014,GB00B1VNSX38,DRAX GROUP,0.0
2013,2014,GB00B1WY2338,SMITHS GROUP,0.0
2013,2014,GB00B1XH2C03,FERREXPO,4.020690444478782e-18
2013,2014,GB00B1YW4409,3I GROUP,0.0
2013,2014,GB00B2B0DG97,RELX,1.875481412076691e-18
2013,2014,GB00B2NGPM57,PARAGON BANKING GROUP,0.0
2013,2014,GB00B2PDGW16,WH SMITH,0.0
2013,2014,GB00B39J2M42,UNITED UTILITIES GROUP,0.04599371028410767
